userId	tagWeight
287145	1.0416771838
287141	0.0381139468
1019342	3.1349756918
3230864	0.4664212069
228059	1.4009358384
378468	0.1570368958
89373	5.945000631
2149092	0.6574216842
2562090	0.985800552
2257052	0.9257982474
2450533	0.3904656146
1367953	1.4088428637
5988	2.1914504261
5989	0.336225534
1424244	5.4635356365
5982	4.5324628381
5981	4.4790225139
5987	53.2999326449
5984	2.5934473478
103548	0.2105993097
127479	31.096133322
5326788	0.616636853
2062497	0.7873176199
1890474	0.0842515213
82447	0.0972979758
718681	2.232364206
1538510	0.7041388421
177363	0.129766301
1082505	0.1121792058
2971215	1.9703472836
120120	3.0647212787
3600461	1.6275542819
120125	0.4380977596
120126	0.7626198263
493650	1.1624822353
3445510	1.0122645314
1554020	1.8855868264
410343	2.1188289811
3003352	1.0035481473
1875401	0.002760737
2506036	1.2363382956
458333	2.9415121569
173150	0.7942287221
173152	0.3664845838
401247	0.0272952871
362310	1.5093364354
523058	2.8175951888
1134660	1.5928458158
2100269	3.7555653715
1073118	1.0896461044
2500650	0.564144439
1073117	2.077394605
515065	0.021352672
260298	2.8198984323
322900	5.6160675582
780911	0.8014587666
1072240	1.0214438963
515068	1.0158250248
270	13.7658867556
271	1.44071583
274	8.5426977991
275	11.3532543088
276	5.2377642763
277	3.1218764232
278	2.8910877235
279	0.7398679236
16706	1.4060519471
1074834	0.0613130545
286238	1.9190942862
16703	0.7931676388
2207842	0.4619642455
88022	0.0956593669
323051	13.4267310679
245820	2.1471256784
2595398	0.5598507213
245822	0.0326288252
1958365	1.0766167974
2066861	0.8256421371
2066866	0.7374775712
100015	2.2601053264
1185929	5.6505318448
1881738	0.918533908
969325	18.0493105359
42083	4.5330863188
17252	3.1563359087
119861	0.6396432236
17255	3.690387971
701869	0.0682056375
10708	14.0433192221
2484624	0.8012269333
10703	6.020075531
963542	1.9402994902
367154	4.4015778384
95792	0.1625350494
10705	0.8950158579
235960	2.8198730541
176060	0.9599614251
1224395	0.0423623953
2845061	0.0621690545
49564	1.7053405343
1109884	1.0120683648
3267305	0.0443357221
49561	5.337569893
972994	0.0599830995
939914	0.8376528865
411435	2.1987140796
3046539	0.5533737921
818566	0.7749282551
353268	1.5619763173
353267	2.8252127654
8217180	0.9074065945
3238828	0.0187016785
633322	0.2895316967
250993	1.0521570102
306941	1.91564628
4250315	0.783071915
62368	3.9259772666
1246683	1.6338425893
3270604	0.7907155556
168086	2.1081406419
1397746	0.8438918093
125407	13.0767285986
1028323	0.896840345
1173898	0.336225534
362657	2.6765136384
1587729	2.5636876314
46869	0.5674586953
1305017	0.7668476979
160258	1.8850950379
634804	0.7008088102
160256	0.2226813924
58074	1.0767237974
2037203	0.3822904035
1382442	0.0170829607
46865	0.5344341072
4244674	0.1282717306
46867	3.1324200381
46866	6.1816832471
2525128	0.0689518939
256207	0.1099568982
158710	0.4877567314
158711	0.0767450602
16769	0.0259392679
657830	1.593793726
2206712	0.7732018514
1333941	0.6221981091
62361	1.8406824954
320508	0.9904975774
488784	2.3386687006
1333949	0.7781499152
2819935	1.2241670462
176683	0.5533737921
1373545	0.702140823
163505	0.0052772946
1345788	2.0232093963
871274	0.702728637
2032356	0.8710993015
2365284	0.9855550007
2869795	0.0148922044
112950	2.5811025664
513057	0.7096232777
756722	0.8053663241
4043853	0.4708562194
2490859	1.5984379373
2522249	0.7839320303
127477	2.401319941
3078690	0.5533737921
1515564	1.4074964471
828184	0.493909917
1601336	4.5384767865
4356919	0.1665948761
1601332	2.312025702
6307513	0.380662083
13051	9.8642643339
237524	0.0720754707
13055	21.5053856664
285154	0.9634622455
533394	0.9512669897
285151	0.8739979039
584440	1.9076720368
2927284	0.7465060386
258941	1.3740870706
258943	0.9253201769
584448	3.2649120954
2207083	0.9091576906
3085708	0.832662297
1435633	1.1868631443
2068429	0.5563032599
1263543	0.1963429322
2090132	0.8787813524
1035133	0.0733786757
6357987	0
498604	1.2413535774
467807	0.5811697843
1876351	0.8512411999
467802	0.9530441498
1266688	3.2444943016
